Series;Product Image;Technology;Mounting;Construction;Capacitance;Voltage(V);ESR(mΩ);Case Size (mm)(mm);Image path;Datasheet part;3d model part
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;68 µF;4.0;600.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;35.0;2800.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;20.0;900.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.68 µF;35.0;8800.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;10 µF;16.0;1700.0;5.8 x 3.2 x 2.7 (C);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;10.0;2800.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.15 µF;35.0;38500.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;2.2 µF;7.0;4400.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;35.0;1700.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.47 µF;25.0;16500.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;1 µF;35.0;3900.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;16.0;900.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.22 µF;35.0;38500.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;15 µF;10.0;2200.0;5.8 x 3.2 x 2.7 (C);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;6.8 µF;7.0;2800.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;1.5 µF;25.0;3900.0;3.5 x 2.8 x 2.1 (B);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;1.5 µF;35.0;5000.0;5.8 x 3.2 x 2.7 (C);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.68 µF;20.0;9700.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;3.3 µF;4.0;4000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;0.33 µF;35.0;22000.0;3.2 x 1.6 x 1.8 (A);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;33 µF;10.0;900.0;7.3 x 4.3 x 3.0 (E);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;22 µF;7.0;1100.0;5.8 x 3.2 x 2.7 (C);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
TMCS;Enlarge;Tantalum, Solid;Surface Mount;Molded;4.7 µF;25.0;2800.0;5.8 x 3.2 x 2.7 (C);image/capacitors\40177.png;Datasheet\capacitors\TMCS\TMCS.pdf;
